Date,Totalflow
8/25/2016,19191
8/26/2016,20297
8/27/2016,20306
8/28/2016,18172
8/29/2016,19963
8/30/2016,19991
8/31/2016,20670
9/1/2016,20841
9/2/2016,21300
9/3/2016,21878
9/4/2016,16998
9/5/2016,21219
9/6/2016,20634
9/7/2016,20271
9/8/2016,19960
9/9/2016,21936
9/10/2016,16517
9/11/2016,10616
9/12/2016,10755
9/13/2016,17011
9/14/2016,19317
9/15/2016,19964
9/16/2016,20298
9/17/2016,19767
9/18/2016,16923
9/19/2016,19327
9/20/2016,19875
9/21/2016,20135
9/22/2016,20393
9/23/2016,18839
9/24/2016,20655
9/25/2016,16986
9/26/2016,16910
9/27/2016,14662
9/28/2016,17560
9/29/2016,17080
9/30/2016,18558
10/1/2016,19638
10/2/2016,17521
10/3/2016,13732
10/4/2016,14295
10/5/2016,10437
10/6/2016,12308
10/7/2016,13224
10/8/2016,12418
10/9/2016,9557
10/10/2016,14785
10/11/2016,15009
10/12/2016,17082
10/13/2016,17319
10/14/2016,17046
10/15/2016,16945
10/16/2016,13312
10/17/2016,17592
10/18/2016,18347
10/19/2016,18588
10/20/2016,18406
10/21/2016,18613
10/22/2016,18272
10/23/2016,14511
10/24/2016,17579
10/25/2016,17451
10/26/2016,17946
10/27/2016,17837
10/28/2016,18864
10/29/2016,18721
10/30/2016,15406
10/31/2016,18399
11/1/2016,18714
11/2/2016,19195
11/3/2016,18751
11/4/2016,19890
11/5/2016,19541
11/6/2016,15044
11/7/2016,17214
11/8/2016,16734
11/9/2016,16791
11/10/2016,17010
11/11/2016,17871
11/12/2016,18374
11/13/2016,14581
11/14/2016,17205
11/15/2016,16620
11/16/2016,16882
11/17/2016,16816
11/18/2016,18286
11/19/2016,18095
11/20/2016,15124
11/21/2016,16131
11/22/2016,17244
11/23/2016,16495
11/24/2016,17391
11/25/2016,17997
11/26/2016,17506
11/27/2016,14261
11/28/2016,16254
11/29/2016,16366
11/30/2016,16469
12/1/2016,15657
12/2/2016,17143
12/3/2016,17426
12/4/2016,15722
12/5/2016,16773
12/6/2016,16494
12/7/2016,16111
12/8/2016,16753
12/9/2016,17691
12/10/2016,17439
12/11/2016,14286
12/12/2016,16939
12/13/2016,17271
12/14/2016,17076
12/15/2016,16843
12/16/2016,18044
12/17/2016,17302
12/18/2016,14871
12/19/2016,17404
12/20/2016,17554
12/21/2016,15984
12/22/2016,17818
12/23/2016,18421
12/24/2016,18322
12/25/2016,13697
12/26/2016,19298
12/27/2016,19530
12/28/2016,16862
12/29/2016,20442
12/30/2016,19271
12/31/2016,18970
1/1/2017,14934
1/2/2017,18137
1/3/2017,18655
1/4/2017,19376
1/5/2017,20482
1/6/2017,20156
1/7/2017,16765
1/8/2017,13466
1/9/2017,17954
1/10/2017,18968
1/11/2017,18560
1/12/2017,18717
1/13/2017,19091
1/14/2017,18984
1/15/2017,16517
1/16/2017,18200
1/17/2017,18900
1/18/2017,15883
1/19/2017,12064
1/20/2017,14842
1/21/2017,17499
1/22/2017,16644
1/23/2017,18019
1/24/2017,18010
1/25/2017,18310
1/26/2017,18783
1/27/2017,17923
1/28/2017,20212
1/29/2017,16857
1/30/2017,18475
1/31/2017,19178
2/1/2017,18694
2/2/2017,18556
2/3/2017,20487
2/4/2017,21743
2/5/2017,18181
2/6/2017,18239
2/7/2017,18862
2/8/2017,18961
2/9/2017,19215
2/10/2017,19502
2/11/2017,19938
2/12/2017,18604
2/13/2017,18772
2/14/2017,18377
2/15/2017,19018
2/16/2017,19334
2/17/2017,19487
2/18/2017,20298
2/19/2017,16026
2/20/2017,18108
2/21/2017,18589
2/22/2017,18315
2/23/2017,18375
2/24/2017,19392
2/25/2017,19487
2/26/2017,15732
2/27/2017,18531
2/28/2017,17768
3/1/2017,19535
3/2/2017,17076
3/3/2017,18131
3/4/2017,15733
3/5/2017,15597
3/6/2017,18708
3/7/2017,19024
3/8/2017,18918
3/9/2017,18749
3/10/2017,19232
3/11/2017,19429
3/12/2017,17030
3/13/2017,18926
3/14/2017,18510
3/15/2017,18690
3/16/2017,18037
3/17/2017,19429
3/18/2017,21213
3/19/2017,21174
3/20/2017,16700
3/21/2017,18100
3/22/2017,18352
3/23/2017,18250
3/24/2017,17251
3/25/2017,19250
3/26/2017,14666
3/27/2017,18925
3/28/2017,18500
3/29/2017,18967
3/30/2017,18684
3/31/2017,15622
4/1/2017,19939
4/2/2017,16241
4/3/2017,19183
4/4/2017,19568
4/5/2017,19240
4/6/2017,19960
4/7/2017,19813
4/8/2017,21291
4/9/2017,15843
4/10/2017,19497
4/11/2017,18943
4/12/2017,19012
4/13/2017,23141
4/14/2017,15686
4/15/2017,14860
4/16/2017,14196
4/17/2017,15352
4/18/2017,20029
4/19/2017,20593
4/20/2017,20983
4/21/2017,21308
4/22/2017,22816
4/23/2017,19490
4/24/2017,20757
4/25/2017,19640
4/26/2017,20981
4/27/2017,20629
4/28/2017,21464
4/29/2017,21759
4/30/2017,20068
5/1/2017,19818
5/2/2017,17769
5/3/2017,20441
5/4/2017,20259
5/5/2017,21040
5/6/2017,20427
5/7/2017,20423
5/8/2017,20532
5/9/2017,19881
5/10/2017,20755
5/11/2017,19180
5/12/2017,20641
5/13/2017,20220
5/14/2017,18246
5/15/2017,19341
5/16/2017,19108
5/17/2017,19534
5/18/2017,17212
5/19/2017,21746
5/20/2017,18040
5/21/2017,19771
5/22/2017,20958
5/23/2017,20377
5/24/2017,21420
5/25/2017,22124
5/26/2017,22673
5/27/2017,22014
5/28/2017,18115
5/29/2017,20308
5/30/2017,20695
5/31/2017,20675
6/1/2017,20916
6/2/2017,21985
6/3/2017,22702
6/4/2017,17555
6/5/2017,20221
6/6/2017,20679
6/7/2017,21320
6/8/2017,21784
6/9/2017,21651
6/10/2017,22693
6/11/2017,17656
6/12/2017,21115
6/13/2017,21152
6/14/2017,21808
6/15/2017,21772
6/16/2017,22104
6/17/2017,22703
6/18/2017,17794
6/19/2017,20720
6/20/2017,21381
6/21/2017,21539
6/22/2017,20975
6/23/2017,19698
6/24/2017,21601
6/25/2017,15909
6/26/2017,20058
6/27/2017,21644
6/28/2017,22118
6/29/2017,23136
6/30/2017,23366
7/1/2017,22822
7/2/2017,18986
7/3/2017,21776
7/4/2017,21943
7/5/2017,22847
7/6/2017,23751
7/7/2017,23039
7/8/2017,25035
7/9/2017,18903
7/10/2017,21327
7/11/2017,20881
7/12/2017,21664
7/13/2017,21321
7/14/2017,22293
7/15/2017,22821
7/16/2017,21115
7/17/2017,21781
7/18/2017,22438
7/19/2017,21666
7/20/2017,22360
7/21/2017,22605
7/22/2017,23779
7/23/2017,21990
7/24/2017,23754
7/25/2017,23533
7/26/2017,20657
7/27/2017,25020
7/28/2017,22944
7/29/2017,24033
7/30/2017,21574
